offer_id,current_gmc_title,shopify_product_title_source,shopify_product_title,proposed_gmc_title,reason,recommended_target,confidence,link
5706324928133224313,39,shopify_public_product_js,Tênis New Balance 204L x Atmos Cow Girl Brown Marrom,Tênis New Balance 204L x Atmos Cow Girl Brown Marrom - Tamanho 39,GMC title atual parece ser só variante/tamanho; usar título público do produto Shopify + tamanho para distinguir variante,GMC ProductInput title/structuredTitle only; não alterar título visível da Shopify nesta etapa,alta,https://lksneakers.com.br/products/tenis-new-balance-204l-x-atmos-cow-girl-brown-marrom
6036386056472256840,37,shopify_public_product_js,Tênis Nike Shox TL Black Cave Stone Preto,Tênis Nike Shox TL Black Cave Stone Preto - Tamanho 37,GMC title atual parece ser só variante/tamanho; usar título público do produto Shopify + tamanho para distinguir variante,GMC ProductInput title/structuredTitle only; não alterar título visível da Shopify nesta etapa,alta,https://lksneakers.com.br/products/tenis-nike-shox-tl-black-cave-stone-preto
3048242206072553507,42,shopify_public_product_js,Tênis ASICS Gel-1130 White Black Silver Prata,Tênis ASICS Gel-1130 White Black Silver Prata - Tamanho 42,GMC title atual parece ser só variante/tamanho; usar título público do produto Shopify + tamanho para distinguir variante,GMC ProductInput title/structuredTitle only; não alterar título visível da Shopify nesta etapa,alta,https://lksneakers.com.br/products/tenis-asics-gel-1130-white-black-silver-prata
6234067398750979457,34,shopify_public_product_js,Tênis Nike Air Force 1 Low Protro Kobe Bryant Siempre Hermanos Marrom,Tênis Nike Air Force 1 Low Protro Kobe Bryant Siempre Hermanos Marrom - Tamanho 34,GMC title atual parece ser só variante/tamanho; usar título público do produto Shopify + tamanho para distinguir variante,GMC ProductInput title/structuredTitle only; não alterar título visível da Shopify nesta etapa,alta,https://lksneakers.com.br/products/tenis-nike-air-force-1-low-protro-kobe-bryant-siempre-hermanos-marrom
11810372920072143991,40,handle_fallback_HTTPError,Calca Saint Studio Wide Alfaiataria Preto,Calca Saint Studio Wide Alfaiataria Preto - Tamanho 40,GMC title atual parece ser só variante/tamanho; usar título público do produto Shopify + tamanho para distinguir variante,GMC ProductInput title/structuredTitle only; não alterar título visível da Shopify nesta etapa,média,https://lksneakers.com.br/collections/roupas/products/calca-saint-studio-wide-alfaiataria-preto
16599698222138562820,34,shopify_public_product_js,Tênis Jordan 4 Retro Toro Bravo 2026 Vermelho,Tênis Jordan 4 Retro Toro Bravo 2026 Vermelho - Tamanho 34,GMC title atual parece ser só variante/tamanho; usar título público do produto Shopify + tamanho para distinguir variante,GMC ProductInput title/structuredTitle only; não alterar título visível da Shopify nesta etapa,alta,https://lksneakers.com.br/products/tenis-jordan-4-retro-toro-bravo-2026-vermelho-1
1863698749035586532,44,shopify_public_product_js,Tênis ASICS Gel-1130 Black Pure Silver Prata,Tênis ASICS Gel-1130 Black Pure Silver Prata - Tamanho 44,GMC title atual parece ser só variante/tamanho; usar título público do produto Shopify + tamanho para distinguir variante,GMC ProductInput title/structuredTitle only; não alterar título visível da Shopify nesta etapa,alta,https://lksneakers.com.br/products/tenis-asics-gel-1130-black-pure-silver-prata
4531110532523186885,39,shopify_public_product_js,Tênis Nike Air Jordan 1 Low SE Repaired Denim Swoosh Azul,Tênis Nike Air Jordan 1 Low SE Repaired Denim Swoosh Azul - Tamanho 39,GMC title atual parece ser só variante/tamanho; usar título público do produto Shopify + tamanho para distinguir variante,GMC ProductInput title/structuredTitle only; não alterar título visível da Shopify nesta etapa,alta,https://lksneakers.com.br/products/tenis-nike-air-jordan-1-low-se-repaired-denim-swoosh-azul
2198938218729451562,37,shopify_public_product_js,Tênis Nike Shox TL Velvet Brown Denim Turquoise Marrom,Tênis Nike Shox TL Velvet Brown Denim Turquoise Marrom - Tamanho 37,GMC title atual parece ser só variante/tamanho; usar título público do produto Shopify + tamanho para distinguir variante,GMC ProductInput title/structuredTitle only; não alterar título visível da Shopify nesta etapa,alta,https://lksneakers.com.br/products/tenis-nike-shox-tl-velvet-brown-denim-turquoise-marrom
14252480804615463970,41,handle_fallback_HTTPError,Bota Timberland 6 Premium Waterproof Boot Supreme Wheat Bege,Bota Timberland 6 Premium Waterproof Boot Supreme Wheat Bege - Tamanho 41,GMC title atual parece ser só variante/tamanho; usar título público do produto Shopify + tamanho para distinguir variante,GMC ProductInput title/structuredTitle only; não alterar título visível da Shopify nesta etapa,média,https://lksneakers.com.br/products/bota-timberland-6-premium-waterproof-boot-supreme-wheat-bege
